學校名稱,學校首頁,公告網址
國立彰師附工,http://www.sivs.chc.edu.tw,找不到公告連結
市立豐原高商,https://fyvs.tc.edu.tw/,https://fyvs.tc.edu.tw/p/412-1085-15099.php
市立豐原高中,https://fysh.tc.edu.tw/,https://fysh.tc.edu.tw/#cmb_835_0
國立秀水高工,http://www.ssivs.chc.edu.tw,找不到公告連結
國立永靖高工,http://www.yjvs.chc.edu.tw,找不到公告連結
國立二林工商,http://www.elvs.chc.edu.tw,找不到公告連結
國立員林高中,https://www.ylsh.chc.edu.tw/home,找不到公告連結
市立大甲高工,https://tcvs.tc.edu.tw/,https://tcvs.tc.edu.tw/#cmb_10_7
國立員林農工,http://www.ylvs.chc.edu.tw,找不到公告連結
國立北斗家商,http://www.pthc.chc.edu.tw,找不到公告連結
私立達德商工,https://www.tdvs.chc.edu.tw/www/home/,找不到公告連結
市立沙鹿高工,https://slvs.tc.edu.tw/,https://slvs.tc.edu.tw/p/403-1082-67-1.php?Lang=zh-tw
市立大甲高中,https://djsh.tc.edu.tw/,https://djsh.tc.edu.tw/#cmb_666_0
市立東勢高工,https://tsvs.tc.edu.tw/,https://tsvs.tc.edu.tw/#cmb_10_0
市立大里高中,https://dlsh.tc.edu.tw/,https://dlsh.tc.edu.tw/#cmb_617_0
市立龍津高中,https://ljjhs.tc.edu.tw/,"https://ljjhs.tc.edu.tw/p/406-1080-597285,r67.php?Lang=zh-tw"
私立玉山高中,http://www.yssh.tc.edu.tw,http://www.yssh.tc.edu.tw/executive1/會計室公告事項.htm
國立南投高中,http://www.ntsh.ntct.edu.tw,找不到公告連結
國立仁愛高農,http://www.ravs.ntct.edu.tw,找不到公告連結
國立埔里高工,http://www.plvs.ntct.edu.tw,找不到公告連結
國立南投高商,http://www.pntcv.ntct.edu.tw,找不到公告連結
國立彰化高商,https://www.chsc.chc.edu.tw/home,找不到公告連結
國立草屯商工,http://www.ttvs.ntct.edu.tw,找不到公告連結
國立員林家商,https://www.ylhcvs.chc.edu.tw/ischool/publish_page/0/,找不到公告連結
國立水里商工,http://www.slvs.ntct.edu.tw,找不到公告連結
國立彰化高中,https://www.chsh.chc.edu.tw/,https://www.chsh.chc.edu.tw/#cmb_73_0
私立精誠高中,http://www.cchs.chc.edu.tw,找不到公告連結
私立三育高中,http://www.taa.ntct.edu.tw,找不到公告連結
財團法人正德高中,https://www.zdhs.chc.edu.tw/bin/home.php,找不到公告連結
縣立旭光高中,https://ischool.skjhs.ntct.edu.tw,找不到公告連結
國立鹿港高中,http://www.lksh.chc.edu.tw,http://www.lksh.chc.edu.tw#cmb_2_0
國立暨大附中,https://www.pshs.ntct.edu.tw/home,找不到公告連結
國立北港高中,http://www.pksh.ylc.edu.tw,找不到公告連結
國立虎尾高中,http://www.hwsh.ylc.edu.tw,找不到公告連結
國立斗六家商,http://www.tlhc.ylc.edu.tw,找不到公告連結
國立北港農工,http://www.pkvs.ylc.edu.tw,找不到公告連結
市立霧峰農工,https://wufai.tc.edu.tw/,https://wufai.tc.edu.tw/p/403-1086-11-1.php?Lang=zh-tw
國立中興高中,https://www.chsh.ntct.edu.tw/home,https://www.chsh.ntct.edu.tw/ischool/publish_page/9/?cid=5265
國立斗六高中,http://www.tlsh.ylc.edu.tw,找不到公告連結
國立竹山高中,https://www.cshs.ntct.edu.tw/home,https://www.cshs.ntct.edu.tw/home?cid=1714
縣立彰化藝術高中,http://www.chash.chc.edu.tw,https://chash.chc.edu.tw/posts
縣立和美高中,https://www.hmjh.chc.edu.tw/,https://hmjh.chc.edu.tw/posts
財團法人義峰高中,http://www.yfsh.ylc.edu.tw,找不到公告連結
私立弘明實驗高中,http://www.holdmean.org.tw,未確認的可能網址: https://sites.google.com/hmhs.ntct.edu.tw/hmannouncement/%E9%A6%96%E9%A0%81
私立五育高中,http://www.wu-yu.ntct.edu.tw,http://www.wu-yu.ntct.edu.tw/zh-hant/news/%E8%99%95%E5%AE%A4%E5%85%AC%E5%91%8A
縣立二林高中,http://www.elsh.chc.edu.tw,https://elsh.chc.edu.tw/posts
國立虎尾農工,http://www.hwaivs.ylc.edu.tw,https://www.hwaivs.ylc.edu.tw/%e5%bf%ab%e9%80%9f%e9%80%a3%e7%b5%90%e5%8d%80/%e6%95%99%e5%b8%ab%e7%a0%94%e7%bf%92%e5%85%ac%e5%91%8a/
縣立成功高中,https://www.cksh.chc.edu.tw/,https://cksh.chc.edu.tw/posts
縣立斗南高中,https://dnsh.ylc.edu.tw/,https://dnsh.ylc.edu.tw/#Group_816726_uodULkwAUM
國立員林崇實高工,http://www.csvs.chc.edu.tw,未確認的可能網址: http://www.csvs.chc.edu.tw/MyPage.php?Wrapper=news
國立土庫商工,http://www.tkvs.ylc.edu.tw,https://www.tkvs.ylc.edu.tw/./index.php?temp=news&lang=cht
縣立田中高中,https://www.tcjh.chc.edu.tw/,https://tcjh.chc.edu.tw/posts
市立后綜高中,https://hzsh.tc.edu.tw/,https://hzsh.tc.edu.tw/#cmb_10_0
私立文興高中,https://www.hshs.chc.edu.tw/,"未確認的可能網址: https://www.hshs.chc.edu.tw/p/406-1000-1906,r11.php?Lang=zh-tw"
私立巨人高中,https://www.tssh.ylc.edu.tw/,https://www.tssh.ylc.edu.tw/news.aspx?getId=06DAF57F662277A2
私立文生高中,http://www.svsh.ylc.edu.tw,http://www.svsh.ylc.edu.tw/xoops/modules/tadnews/index.php?tag_sn=1
南投縣同德高中,http://www.tdvs.ntct.edu.tw,未確認的可能網址: http://www.tdvs.ntct.edu.tw/list/30
縣立蔦松藝術高中,https://nsjh.ylc.edu.tw/,https://nsjh.ylc.edu.tw/cl.aspx?n=99398
國立彰化女中,http://www.chgsh.chc.edu.tw,https://www.chgsh.chc.edu.tw/category/important/
國立新豐高中,http://www.sfsh.tn.edu.tw,找不到公告連結
私立揚子高中,http://www.ytjh.ylc.edu.tw,https://www.ytjh.ylc.edu.tw/teaching/53/117
私立普台高中,https://www.ptsh.ntct.edu.tw/ptsh/index.php,https://www.ptsh.ntct.edu.tw/ptsh/administrative4.php
國立臺南大學附中,http://www.tntcsh.tn.edu.tw,找不到公告連結
私立大德工商,https://www.ddvs.ylc.edu.tw/home,找不到公告連結
國立後壁高中,http://www.hpsh.tn.edu.tw,找不到公告連結
縣立古坑華德福實驗高級中學,https://gwehs.ylc.edu.tw/,https://school.ylc.edu.tw/open-message/094308
國立西螺農工,http://www.hlvs.ylc.edu.tw,https://www.hlvs.ylc.edu.tw/?page_id=63554
國立新化高中,http://www.hhsh.tn.edu.tw,找不到公告連結
國立新化高工,http://www.hhvs.tn.edu.tw,找不到公告連結
私立萬能工商,http://www.wnvs.cyc.edu.tw,找不到公告連結
福智高中,https://www.bwjh.ylc.edu.tw/,https://www.bwjh.ylc.edu.tw/category/ann/
國立新港藝術高中,https://www.sgash.cyc.edu.tw/home,找不到公告連結
縣立竹崎高中,http://www.ccjh.cyc.edu.tw,找不到公告連結
國立成大附屬南工,https://www.ptivs.tn.edu.tw,找不到公告連結
國立曾文農工,https://www.twivs.tn.edu.tw/,找不到公告連結
私立大成商工,http://163.27.121.3/web/,http://163.27.121.30/ann/
私立正心高中,https://www.shsh.ylc.edu.tw/,https://www.shsh.ylc.edu.tw/category/news/
縣立麥寮高中,https://mljh.ylc.edu.tw,https://mljh.ylc.edu.tw/News_Content_teacher.aspx?n=54638&s=379715
國立南科國際實驗高中,http://www.nnkieh.tn.edu.tw,找不到公告連結
私立黎明高中,http://www.lmsh.tn.edu.tw,找不到公告連結
國立曾文家商,http://www.twvs.tn.edu.tw,找不到公告連結
私立新榮高中,http://www.srsh.tn.edu.tw,找不到公告連結
國立東石高中,https://www.tssh.cyc.edu.tw/,"https://www.tssh.cyc.edu.tw/latestevent/Index.aspx?Parser=9,9,79,46"
國立嘉科實驗高中,https://www.nehs.cyc.edu.tw/home,https://www.nehs.cyc.edu.tw/home?cid=62
國立新營高工,https://www.hyivs.tn.edu.tw/home,找不到公告連結
私立協同高中,http://www.cmsh.cyc.edu.tw,https://www.cmsh.cyc.edu.tw/category/news
國立鳳山高中,http://www.fssh.khc.edu.tw,找不到公告連結
國立民雄農工,http://www.mhvs.cyc.edu.tw,https://www.mhvs.cyc.edu.tw/modules/tadnews/page.php?ncsn=392&nsn=10287
國立旗美高中,http://www.cmsh.khc.edu.tw,找不到公告連結
私立永年高中,http://www.ynhs.ylc.edu.tw,http://www.ynhs.ylc.edu.tw#idx-tab-1
國立北門高中,http://www.bmsh.tn.edu.tw/,找不到公告連結
國立旗山農工,http://www.csvs.khc.edu.tw,找不到公告連結
私立明達高中,http://www.mdsh.tn.edu.tw,找不到公告連結
國立新營高中,https://www.hysh.tn.edu.tw/home,https://www.hysh.tn.edu.tw/home?cid=610
縣立永慶高中,http://www.ycsh.cyc.edu.tw,https://www.ycsh.cyc.edu.tw/modules/tadnews/page.php?ncsn=43&nsn=982
私立南光高中,http://www.nkhs.tn.edu.tw,找不到公告連結
國立玉井工商,https://www.ycvs.tn.edu.tw/,"https://www.ycvs.tn.edu.tw/latestevent/index?Parser=22,3,21"
私立陽明工商,http://www.ymvs.tn.edu.tw,找不到公告連結
國立北門農工,http://www.pmai.tn.edu.tw,https://www.pmai.tn.edu.tw/category/news
私立義大國際高中,https://www.iis.kh.edu.tw/tw,找不到公告連結
國立善化高中,http://www.shsh.tn.edu.tw,http://www.shsh.tn.edu.tw#tab0
私立育德工家,http://www.ytvs.tn.edu.tw,找不到公告連結
國立岡山高中,http://www.kssh.khc.edu.tw,找不到公告連結
私立港明高中,http://www.kmsh.tn.edu.tw/km107/,https://www.kmsh.tn.edu.tw/board2/board_list_type.php
國立鳳新高中,http://www.fhsh.khc.edu.tw,找不到公告連結
國立岡山農工,http://www.ksvs.khc.edu.tw,找不到公告連結
臺南市中信國際高中,https://ctbchs.tn.edu.tw/,https://ctbchs.tn.edu.tw/?cat=26
國立白河商工,http://www.phvs.tn.edu.tw,http://www.phvs.tn.edu.tw/show_post.asp?pID=53924
市立大灣高中,http://www.dwhs.tn.edu.tw/,找不到公告連結
私立高英工商,http://www.kyicvs.khc.edu.tw,http://www.kyicvs.khc.edu.tw/main_newsdetial.php?news_id=123
國立屏東女中,http://www.ptgsh.ptc.edu.tw,找不到公告連結
私立中山工商,http://www.csic.khc.edu.tw,找不到公告連結
國立屏東高中,https://www.pths.ptc.edu.tw/home,找不到公告連結
市立沙崙國際高中,https://www.sljh.tn.edu.tw/,找不到公告連結
私立華德工家,http://www.hdvs.kh.edu.tw/,找不到公告連結
國立屏北高中,http://www.ppsh.ptc.edu.tw,找不到公告連結
國立潮州高中,http://www.ccsh.ptc.edu.tw,https://www.k12ea.gov.tw/Tw/Annc/List?filter=AC097895-3399-4890-8891-FC005A77CCB3
市立永仁高中,https://www.yrhs.tn.edu.tw/,https://www.yrhs.tn.edu.tw/modules/school/index.php?department_id=1&page_id=3
國立內埔農工,http://www.npvs.ptc.edu.tw,找不到公告連結
國立屏東高工,http://www.ptivs.ptc.edu.tw,找不到公告連結
國立佳冬高農,http://www.ctvs.ptc.edu.tw,找不到公告連結
國立東港海事,http://www.tkms.ptc.edu.tw,找不到公告連結
市立林園高中,http://www.ly.kh.edu.tw/,找不到公告連結
雲林縣維多利亞實驗高中,https://www.victoria.ylc.edu.tw/,找不到公告連結
國立高科實驗高中,https://www.nehs.kh.edu.tw/,https://www.nehs.kh.edu.tw/important-propaganda/5562/%e3%80%8c116%e5%ad%b8%e5%b9%b4%e5%ba%a6%e5%90%84%e7%9b%b4%e8%bd%84%e5%b8%82%e3%80%81%e7%b8%a3%ef%bc%88%e5%b8%82%ef%bc%89%e9%ab%98%e7%b4%9a%e4%b8%ad%e7%ad%89%e5%ad%b8%e6%a0%a1%e5%b0%b1%e5%ad%b8/
市立路竹高中,https://www.lchs.kh.edu.tw/,找不到公告連結
市立福誠高中,https://www.ftm.kh.edu.tw/,找不到公告連結
財團法人新光高中,https://sg.sgshedu.tw/,https://sg.sgshedu.tw/modules/tadnews/
市立六龜高中,https://www.lgm.kh.edu.tw/lgm/main.php,找不到公告連結
光禾華德福實驗學校,https://waldorf-tw-kh.weebly.com/,https://waldorf-tw-kh.weebly.com/35338246872084421578.html
市立仁武高中,http://www.rwm.kh.edu.tw/,找不到公告連結
財團法人普門中學,https://www.pmsh.khc.edu.tw/,https://www.pmsh.khc.edu.tw/category/news/
國立臺東女中,http://www.tgsh.ttct.edu.tw,找不到公告連結
國立關山工商,https://www.ksvs.ttct.edu.tw/,找不到公告連結
國立臺東高中,https://www.pttsh.ttct.edu.tw,找不到公告連結
國立臺東高商,https://www.tscvs.ttct.edu.tw/,找不到公告連結
國立成功商水,https://www.ckvs.ttct.edu.tw/,找不到公告連結
私立公東高工,https://www.ktus.ttct.edu.tw/,找不到公告連結
市立文山高中,http://www.wsm.kh.edu.tw/,http://www.wsm.kh.edu.tw/#cmb_3_5
國立屏科實驗高中,https://nehs.ptc.edu.tw/nss/p/index,找不到公告連結
私立旗美商工,https://cm.cmvsedu.tw/,https://cm.cmvsedu.tw/modules/tadnews/
國立花蓮高農,http://www.hla.hlc.edu.tw,找不到公告連結
國立花蓮高工,http://www.hlis.hlc.edu.tw,找不到公告連結
國立花蓮高商,http://www.hlbh.hlc.edu.tw,找不到公告連結
私立育仁高中,http://www.lotus.ttct.edu.tw,找不到公告連結
私立民生家商,https://www.msvs.ptc.edu.tw/,找不到公告連結
私立正義高中,https://web.cysh.khc.edu.tw/zh,https://web.cysh.khc.edu.tw/zh/page/18f2a9cf-3ad6-94cc-a3fe-3a21b6c2f128
私立四維高中,http://www.swsh.hlc.edu.tw,找不到公告連結
國立臺東大學附屬體育高中,http://www.ntpehs.ttct.edu.tw,找不到公告連結
財團法人慈濟大學附中,http://www.tcsh.hlc.edu.tw,找不到公告連結
縣立蘭嶼高中,https://layjh.ttct.edu.tw,找不到公告連結
花蓮縣上騰工商,http://www.chvs.hlc.edu.tw,找不到公告連結
國立花蓮高中,https://www.hlhs.hlc.edu.tw/,https://www.k12ea.gov.tw/Tw/Annc/List?filter=AC097895-3399-4890-8891-FC005A77CCB3
私立高苑工商,https://www.kyvs.kh.edu.tw/home,未確認的可能網址: https://www.kyvs.kh.edu.tw/ischool/publish_page/30/?cid=1788
縣立枋寮高中,http://www.flhs.ptc.edu.tw,找不到公告連結
縣立東港高中,http://www.dghs.ptc.edu.tw/,找不到公告連結
國立恆春工商,http://www.hcvs.ptc.edu.tw,http://www.hcvs.ptc.edu.tw#cmb_1_0
國立基隆商工,https://www.klcivs.kl.edu.tw/,找不到公告連結
國立玉里高中,http://www.ylsh.hlc.edu.tw,找不到公告連結
輔大聖心高中,http://www.shsh.kl.edu.tw,找不到公告連結
私立光隆家商,http://www.klhcvs.kl.edu.tw,找不到公告連結
私立海星高中,http://www.smhs.hlc.edu.tw,找不到公告連結
國立鳳山商工,https://www.fsvs.khc.edu.tw/,https://www.fsvs.khc.edu.tw/#cmb_26_4
私立陸興高中,https://www.lssh.ptc.edu.tw/tw,https://www.lssh.ptc.edu.tw/page/news/index.aspx
縣立來義高中,https://www.lyhs.ptc.edu.tw/,找不到公告連結
縣立大同高中,http://www.dtjh.ptc.edu.tw,找不到公告連結
私立美和高中,https://www.mhsh.ptc.edu.tw/home,https://www.mhsh.ptc.edu.tw/ischool/publish_page/0?cid=652
國立新竹女中,http://www.hgsh.hc.edu.tw,找不到公告連結
國立新竹高中,http://www.hchs.hc.edu.tw,找不到公告連結
國立新竹高商,http://www.hccvs.hc.edu.tw,找不到公告連結
臺東縣均一高中,http://junyi.tw,http://junyi.tw/news
國立新竹高工,https://www.hcvs.hc.edu.tw/,找不到公告連結
國立花蓮女中,http://www.hlgs.hlc.edu.tw,未確認的可能網址: https://www.hlgs.hlc.edu.tw/office/principal/news/
國立馬公高中,https://www.mksh.phc.edu.tw/,找不到公告連結
私立磐石高中,http://www.sphs.hc.edu.tw,找不到公告連結
私立世界高中,http://www.wvs.hc.edu.tw,找不到公告連結
國立基隆高中,https://www.klsh.kl.edu.tw/,找不到公告連結
國立基隆女中,http://www.klgsh.kl.edu.tw,找不到公告連結
新竹市數位實驗高中,https://www.desh.hc.edu.tw,找不到公告連結
國立光復商工,http://www.kfcivs.hlc.edu.tw,https://www.kfcivs.hlc.edu.tw/news/%e6%95%99%e5%8b%99%e8%99%95-%e5%85%ac%e5%91%8a115%e5%b9%b4%e5%9c%8b%e4%b8%ad%e6%95%99%e8%82%b2%e6%9c%83%e8%80%83%e8%80%83%e5%a0%b4%e8%b3%87%e8%a8%8a/34524/
